Lot,Action,CurrentBid,MaxBid,Headroom,SoldMedian,SoldCount,Gun,MatchNote
129,NO COMPS,150,,,,,"Hopkins & Allen Arms Co. Safety Police Revolver","no catalog match for this manufacturer/model"
130,NO COMPS,60,,,,,"RG Industries RG-14 Revolver","no catalog match for this manufacturer/model"
131,NO COMPS,60,,,,,"Rohm RG-10 22-Short Revolver","no catalog match for this manufacturer/model"
132,NO COMPS,80,,,,,"Connecticut Valley Arms Inc Plainsman 50 Cal Black Powder Only Rifle","no catalog match for this manufacturer/model"
133,BID,400,438.67,38.67,700,324,"Ruger Mini-14 Semi-Automatic Rifle with Scope and Original Wood Stock","auto: RUGER MINI-14 .223 REM. (Used, score 85) - 324 sold, 223 asking"
134,NO COMPS,100,,,,,"Bearman Industries Two-Shot Derringer Pistol, Stainless Finish","no catalog match for this manufacturer/model"
135,PASS,625,536.53,-88.47,870,82,"Remington Model 1100 20-Gauge Shotgun","auto: REMINGTON 1100 20 GAUGE (Used, score 95) - 82 sold, 8 asking"
136,PASS,425,346.68,-78.32,655,26,"Howa 1500 308 Win Bolt-Action Rifle","auto: HOWA 1500 .308 WIN. (Used, score 95) - 26 sold, 527 asking"
137,PASS,150,54.6,-95.4,159,79,"1946 Remington 510 Routledge Bore 22 Rifle","auto: REMINGTON 510 TARGETMASTER .22 LR (Used, score 85) - 79 sold, 0 asking"
138,BID,300,313.04,13.04,505,264,"Ruger Security-Six 357 Mag Revolver","auto: RUGER SECURITY-SIX .357 MAG. (Used, score 88) - 264 sold, 0 asking"
139,NO COMPS,90,,,,,"Rossi 38 SPL Revolver","no catalog match for this manufacturer/model"
140,BID,375,429.75,54.75,660,559,"Smith & Wesson Model 686 357 Mag Revolver","auto: SMITH & WESSON 686 .357 MAG. (Used, score 95) - 559 sold, 4 asking"
141,NO COMPS,85,,,,,"Charter Arms Bulldog Revolver","no catalog match for this manufacturer/model"
142,BID,200,313.04,113.04,530,191,"Colt Cobra 38 SPL Revolver","auto: COLT COBRA .38 SPL. (Used, score 75) - 191 sold, 405 asking"
143,NO COMPS,60,,,,,"Grendel Inc P-10 380 Pistol","no catalog match for this manufacturer/model"
145,NO COMPS,55,,,,,"Hopkins & Allen Double Action 32 Cal Pocket Revolver","no catalog match for this manufacturer/model"
146,NO COMPS,60,,,,,"Break-Action Single-Barrel 12-Gauge Shotgun","no catalog match for this manufacturer/model"
147,NO COMPS,70,,,,,"National Ordnance Moel 1903A3 30-06 Rifle","no catalog match for this manufacturer/model"
148,BID,85,112.93,27.93,255.5,56,"Winchester Model 37A 12-Gauge Shotgun","auto: WINCHESTER 37 12 GAUGE (Used, score 95) - 56 sold, 7 asking"
149,PASS,250,70.07,-179.93,191.5,506,"Marlin Firearms Stainless Model 60SB 22LR Rifle","auto: MARLIN 60 .22 LR (Used, score 95) - 506 sold, 16 asking"
150,NO COMPS,125,,,,,"CVA Colt Dragoon Style .44 Cal Black Powder Revolver","no catalog match for this manufacturer/model"
151,NO COMPS,100,,,,,"Ruger LCP 380 Semi-Auto Pistol","no catalog match for this manufacturer/model"
152,PASS,125,78.01,-46.99,179,15,"Smith & Wesson SD9 VE 9mm Pistol","auto: SMITH & WESSON S&W SD9 VE 9MM LUGER (Used, score 84) - 15 sold, 10 asking"
153,BID,100,106.78,6.78,230,42,"Smith & Wesson M&P9 Shield 9mm Pistol","auto: SMITH & WESSON M&P9 SHIELD 9MM LUGER (Used, score 84) - 42 sold, 0 asking"
154,NO COMPS,175,,,,,"Sig Sauer P320 Semi-Auto Pistol","no catalog match for this manufacturer/model"
155,PASS,150,100.83,-49.17,200,10,"Ruger 9E 9mm Pistol","auto: RUGER SR9E 9MM LUGER (Used, score 75) - 10 sold, 0 asking"
156,PASS,175,147.05,-27.95,260.5,22,"Smith & Wesson M&P Bodyguard 380 Pistol","auto: SMITH & WESSON M&P BODYGUARD 380 .380 ACP (Used, score 75) - 22 sold, 1 asking"
157,PASS,150,46.26,-103.74,135,405,"Taurus Firearms G2C 9mm Semi-Auto Pistol","auto: TAURUS G2C 9MM LUGER (Used, score 75) - 405 sold, 248 asking"
158,PASS,125,76.82,-48.18,175,99,"Taurus PT-22 Pocket Pistol","auto: TAURUS PT-22 .22 LR (Used, score 85) - 99 sold, 3 asking"
159,NO COMPS,125,,,,,"Smith & Wesson Bodyguard 380 Pistol","no catalog match for this manufacturer/model"
160,PASS,100,58.17,-41.83,150,169,"Ruger EC9S 9mm Pistol","auto: RUGER EC9S 9MM LUGER (Used, score 84) - 169 sold, 17 asking"
161,PASS,100,78.01,-21.99,190,37,"Smith & Wesson SD40VE 40 S&W Pistol","auto: SMITH & WESSON 40 .40 S&W (Used, score 95) - 37 sold, 1 asking"
162,PASS,80,56.18,-23.82,158,27,"Stoeger Arms STR-9C Semi-Auto Pistol","auto: STOEGER STR-9C 9MM LUGER (Used, score 59) - 27 sold, 13 asking"
163,NO COMPS,125,,,,,"Springfield Armoty XD-9 9mm Pistol","no catalog match for this manufacturer/model"
164,PASS,225,204.98,-20.02,353,109,"Tisas Arms Zig M1911 Pistol","auto: TISAS 1911 .45 ACP (Used, score 85) - 109 sold, 1355 asking"
165,NO COMPS,100,,,,,"Taurus PT140 G2A 40 S&W Pistol","no catalog match for this manufacturer/model"
166,NO COMPS,95,,,,,"FMK Firearms 9C1G2 9mm Pistol","no catalog match for this manufacturer/model"
167,PASS,150,58.17,-91.83,150,39,"American Tactical GSG Firefly 22 Pistol","auto: GERMAN SPORT GUNS (GSG) FIREFLY .22 LR (Used, score 65) - 39 sold, 303 asking"
168,PASS,125,78.01,-46.99,179,15,"Smith & Wesson SD9 VE 9mm Pistol","auto: SMITH & WESSON S&W SD9 VE 9MM LUGER (Used, score 84) - 15 sold, 10 asking"
169,PASS,125,117.69,-7.31,245,154,"NEK7834 Smith & Wesson M&P 9 Shield EZ M2.0 Pistol","auto: SMITH & WESSON M&P9 SHIELD M2.0 9MM LUGER (Used, score 58) - 154 sold, 75 asking"
170,PASS,85,54.99,-30.01,151,200,"Taurus G3C 9mm Pistol","auto: TAURUS G3C 9MM LUGER (Used, score 75) - 200 sold, 112 asking"
171,PASS,100,78.01,-21.99,190,37,"Smith & Wesson SD40VE 40 S&W Pistol","auto: SMITH & WESSON 40 .40 S&W (Used, score 95) - 37 sold, 1 asking"
172,PASS,85,47.85,-37.15,129,11,"Taurus PT111 G2A 9mm Pistol","auto: TAURUS PT-111 MILLENNIUM PRO 9MM LUGER (Used, score 95) - 11 sold, 0 asking"
173,BID,80,115.91,35.91,218,10,"Kahr Arms CT9 9mm Pistol","auto: KAHR CT9 9MM LUGER (New, score 69) - 10 sold, 298 asking"
174,PASS,150,125.03,-24.97,253,8,"Springfield Armory XD-40 Sub-Compact Pistol","auto: SPRINGFIELD XD SUBCOMPACT .40 SW STAINLESS LOWCAP .40 S&W (Used, score 88) - 8 sold, 0 asking"
175,BID,225,549.09,324.09,791,18,"Colt Firearms Trooper","auto: COLT TROOPER .22 LR (Used, score 65) - 18 sold, 1 asking"
176,NO COMPS,375,,,,,"Browning A-500G Semi-Auto 12-Gauge Shotgun","no catalog match for this manufacturer/model"
177,PASS,175,126.22,-48.78,278,96,"Winchester 1300 Pump-Action 12-Gauge Shotgun","auto: WINCHESTER 1300 12 GAUGE (Used, score 95) - 96 sold, 16 asking"
178,NO COMPS,100,,,,,"Harrington & Richardson Pardner Pump 12-Gauge Pump-Action Shotgun","no catalog match for this manufacturer/model"
179,NO COMPS,125,,,,,"Adler Hunting Arms Company Centurion Optio-I XII Semi-Auto 12-Gauge Shotgun","no catalog match for this manufacturer/model"
180,NO COMPS,150,,,,,"Citadel Firearms Pup Scout 12-Gauge Shotgun","no catalog match for this manufacturer/model"
181,NO COMPS,250,,,,,"Richland Arms Model 707 20-Gauge Shotgun","no catalog match for this manufacturer/model"
182,PASS,400,356.81,-43.19,630,235,"Remington Arms Company 1100 12-Gauge Shotgun","auto: REMINGTON 1100 12 GAUGE (Used, score 95) - 235 sold, 38 asking"
183,BID,750,912.79,162.79,1299,31,"Winchester Model 9410 .410 Bore Lever-Action Shotgun","auto: WINCHESTER MODEL 9410 410 BORE (Used, score 95) - 31 sold, 0 asking"
184,PASS,375,356.81,-18.19,630,235,"Remington Model 1100 12-Gauge Shotgun","auto: REMINGTON 1100 12 GAUGE (Used, score 95) - 235 sold, 38 asking"
185,PASS,175,91.5,-83.5,210,41,"Tokarev TBP 12 Semi-Auto Shotgun","auto: TOKAREV SHOTGUNS TBP 12 12 GAUGE (Used, score 83) - 41 sold, 142 asking"
186,NO COMPS,150,,,,,"Panzer Arms EGX500 Bullpup 12-Gauge Shotgun","no catalog match for this manufacturer/model"
187,BID,400,534.1,134.1,873.5,32,"Browning Auto-5 Magnum 12-Gauge Shotgun","auto: BROWNING AUTO-5 LIGHT TWENTY 12 GAUGE (Used, score 84) - 32 sold, 0 asking"
188,BID,90,91.5,1.5,210,41,"Tokarev TAR12 Semi-Auto Shotgun","auto: TOKAREV SHOTGUNS TBP 12 12 GAUGE (Used, score 83) - 41 sold, 142 asking"
189,BID,375,576.45,201.45,955,9,"Winchester 9422M .22 WMR Rifle","auto: WINCHESTER 9422 .22 WMR (Used, score 95) - 9 sold, 1 asking"
190,BID,375,406.25,31.25,680.5,846,"Winchester 94 30-30 Lever-Action Rifle","auto: WINCHESTER 94 .30-30 WIN. (Used, score 95) - 846 sold, 67 asking"
191,PASS,400,219.07,-180.93,378,32,"Browning Takedown 22 Rifle","auto: BROWNING 1911-22 .22 LR (Used, score 85) - 32 sold, 1925 asking"
192,BID,450,816.34,366.34,1225,59,"Marlin Model 444T Lever-Action Rifle","auto: MARLIN 444 .444 MARLIN (Used, score 85) - 59 sold, 4 asking"
193,BID,200,220.85,20.85,400,267,"Remington Nylon 66 22LR Rifle","auto: REMINGTON NYLON 66 .22 LR (Used, score 95) - 267 sold, 11 asking"
194,BID,350,661.54,311.54,1002,25,"Ruger Model 77 22 Hornet Rifle","auto: RUGER RUGER 77 22 .22 HORNET (Used, score 95) - 25 sold, 19 asking"
195,BID,325,353.57,28.57,551,29,"Marlin Model 9 Rifle","auto: MARLIN MODEL 9 CAMP CARBINE 9MM LUGER (Used, score 85) - 29 sold, 0 asking"
