Lot,Label,Category,Bid,MaxBid,Headroom,Verdict,SoldCount,P25,Median,Net,MatchNote,Error
149,"Marlin Firearms Stainless 60SB .22 LR",handgun,250,72.17,-177.83,NO-GO,506,150,191.5,-154.5,"auto: MARLIN 60 .22 LR (Used, score 95) - 506 sold, 15 asking",""
84,"Kel-Tec SUB2000 Gen 3 9mm",handgun,350,158,-192,NO-GO,154,255,280,-170.8,"auto: KELTEC SUB-2000 9MM LUGER (Used, score 95) - 154 sold, 113 asking",""
11,"Ruger Super Blackhawk in Gun Locker Hard Case .44 Magnum",handgun,275,,,,0,,,,"no catalog match for this manufacturer/model",""
22,"Bond Arms Stinger Honey-B 9mm",handgun,150,,,,0,,,,"no catalog match for this manufacturer/model",""
24,"Rossi Brawler . /.45LC .410",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
32,"Rossi RS22P . .22 LR",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
34,"Ruger SR-1911 . .45 ACP",handgun,375,,,,0,,,,"no catalog match for this manufacturer/model",""
39,"Sig Sauer P365-9-BXR3 9mm",handgun,250,,,,0,,,,"no catalog match for this manufacturer/model",""
40,"Sig Sauer P320 9mm",handgun,200,,,,0,,,,"no catalog match for this manufacturer/model",""
43,"Sig Sauer P226 . .40 S&W",handgun,275,,,,0,,,,"no catalog match for this manufacturer/model",""
44,"Sig Sauer P238 Nightmare . .380 ACP",handgun,250,,,,0,,,,"no catalog match for this manufacturer/model",""
46,"Smith & Wesson M&P357C",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
49,"Taurus Firearms G3C 9mm",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
51,"Taurus G3C 9x19mm",handgun,175,,,,0,,,,"no catalog match for this manufacturer/model",""
52,"Taurus G2S . .40 S&W",handgun,95,,,,0,,,,"no catalog match for this manufacturer/model",""
54,"Taurus G2C FDE 9x19mm",handgun,200,,,,0,,,,"no catalog match for this manufacturer/model",""
55,"Taurus Firearms G2C 9mm",handgun,95,,,,0,,,,"no catalog match for this manufacturer/model",""
57,"Taurus G2C931-12 9x19mm",handgun,125,,,,0,,,,"no catalog match for this manufacturer/model",""
59,"Walther Arms WMP .22 WMR",handgun,200,,,,0,,,,"no catalog match for this manufacturer/model",""
61,"Charter Arms Bulldog .38 S&W",handgun,150,,,,0,,,,"no catalog match for this manufacturer/model",""
62,"Heritage Firearms BK22B3 . .22 LR",handgun,95,,,,0,,,,"no catalog match for this manufacturer/model",""
66,"Ruger GP-100 . .357",handgun,250,,,,0,,,,"no catalog match for this manufacturer/model",""
72,"Henry Repeating Arms Axe . Brass Lever-ActionÂ Firearm .410",handgun,675,,,,0,,,,"no catalog match for this manufacturer/model",""
78,"Stoeger Arms Condor 12ga",handgun,300,,,,0,,,,"no catalog match for this manufacturer/model",""
83,"Kel-Tec SUB 2K40 . .40 S&W",handgun,200,,,,0,,,,"no catalog match for this manufacturer/model",""
86,"Springfield Remington Sportsman 74 . .30-06",handgun,250,,,,0,,,,"no catalog match for this manufacturer/model",""
87,"Springfield Remington 742 Woodsmaster . .30-06",handgun,225,,,,0,,,,"no catalog match for this manufacturer/model",""
88,"Winchester Ruger American Predator . .308",handgun,325,,,,0,,,,"no catalog match for this manufacturer/model",""
89,"Ruger LC - 5.7x28",handgun,375,,,,0,,,,"no catalog match for this manufacturer/model",""
90,"Ruger Precision Bolt-Action 6.5 Creedmoor",handgun,450,,,,0,,,,"no catalog match for this manufacturer/model",""
92,"Savage Arms 187N 22 S,L,LR",handgun,50,,,,0,,,,"no catalog match for this manufacturer/model",""
94,"Smith & Wesson T/C Compass 6.5 Creedmoor",handgun,250,,,,0,,,,"no catalog match for this manufacturer/model",""
95,"Stevens Firearms 62 . .22 LR",handgun,80,,,,0,,,,"no catalog match for this manufacturer/model",""
97,"Weatherby Mark V .22-250",handgun,625,,,,0,,,,"no catalog match for this manufacturer/model",""
98,"Springfield Winchester 70 . .30-06",handgun,275,,,,0,,,,"no catalog match for this manufacturer/model",""
104,"Browning 32 12ga",handgun,350,,,,0,,,,"no catalog match for this manufacturer/model",""
109,"Stevens 620 20ga",handgun,75,,,,0,,,,"no catalog match for this manufacturer/model",""
114,"Thompson/Center Arms Renegade .50 Black Powder Percussion",handgun,150,,,,0,,,,"no catalog match for this manufacturer/model",""
119,"Ruger P90DC .45 ACP",handgun,275,,,,0,,,,"no catalog match for this manufacturer/model",""
